Age,Gender,IncomeLevel,TotalPurchases,AverageOrderValue,CustomerLifetimeValue,EmailEngagementRate,SocialMediaEngagementRate,MobileAppUsage,CustomerServiceInteractions,AverageSatisfactionScore,EmailConversionRate,SocialMediaConversionRate,SearchEngineConversionRate,RepeatCustomer,PremiumMember,HasReturnedItems,GenderLabel,DaysSinceRegistration,PurchaseFrequency,AvgPurchaseInterval,CSFrequency,NegativeExperienceIndex,TotalEngagementScore,EngagementToConversionRatio,CLVPerMonth,RepeatAndPremiumFlag,RecencyProxy,CustomerTenure,ChurnRiskScore
25.0,6,5,5.0,15.8865094898746,288.7110403087488,0.3323645112525472,0.3796939474463288,0,2.0,6.240881371979748,0.1129550699684041,0.2399476718262589,0.1567757569395271,2,2,0,0,2036.0,0.07260406582768636,339.5,0.029041626331074544,7.5182372560405035,0.356029229349438,2.095598311300181,4.192319075151241,0,0.9323104693140795,2036.0,0.4535289135753713
34.91932737335036,5,1,5.0,27.63885265517557,181.72505557776844,0.3445742803594345,0.1409878658572782,1,2.0,7.721916903681859,0.3009787413916798,0.2308210372350444,0.2907347701083934,2,0,0,3,1602.0,0.09191176470588236,267.1666666666667,0.03676470588235294,4.556166192636281,0.24278107310835634,0.8854832468683056,3.3405341098854495,0,0.9158249158249159,1602.0,0.3697006314895678
43.0,6,1,11.0,161.73942548765393,1810.555149730028,0.409655976865889,0.3236597407867683,1,2.0,7.899041671120684,0.1980259042092562,0.1322389023795836,0.0505054690076726,2,0,2,0,1766.0,0.18374164810690424,147.25,0.03340757238307349,4.201916657758632,0.3666578588263286,2.888788806818933,30.24312610907619,0,0.8447789275634995,1766.0,0.42228165150176655
49.0,1,1,5.0,14.19426270386776,86.21974007502905,0.3567648076203752,0.2684279445349143,3,1.0,7.829458866718619,0.0740974453892843,0.2066438170585194,0.2810671495852702,2,2,0,2,1801.0,0.08192244675040962,300.3333333333333,0.016384489350081924,2.1705411332813807,0.3125963760776448,1.6692240637107718,1.412666413026145,0,0.9242806663301363,1801.0,0.3951237925323895
29.0,1,6,8.0,1886.330107227007,2112.5759449496786,0.2227030774055542,0.1604265636583856,0,2.0,7.777352694575424,0.1634376528824752,0.2324097764445833,0.326645087457617,2,0,0,2,1258.0,0.1863354037267081,139.88888888888889,0.04658385093167702,4.445294610849151,0.19156482053196988,0.7954297960954477,49.20596145069128,0,0.8429319371727748,1258.0,0.3843222388709503
57.0,3,3,2.0,18.985494543115337,5.788113916694272,0.4839585668059574,0.2268742393362235,4,2.0,4.059193595488387,0.1075970766821166,0.3207413885721604,0.3172167904534266,2,0,2,1,727.0,0.07926023778071334,242.66666666666666,0.07926023778071334,11.881612809023226,0.35541640307109046,1.4301353395934961,0.229383642669522,0,0.9265605875152998,727.0,0.5025948960418686
23.0,6,5,5.0,42.48791286775084,288.7110403087488,0.5050866440772344,0.5691960628400938,1,2.0,6.3398548487126245,0.3443784022496238,0.2237739702098927,0.1833133470417889,0,0,0,0,2430.0,0.06097560975609756,405.1666666666667,0.024390243902439025,7.320290302574751,0.5371413534586641,2.1443661173885933,3.520866345228644,0,0.9425287356321839,2430.0,0.41692599844251227
57.0,4,4,2.0,49.18446198361215,158.35204404950952,0.2996004251901696,0.4005337283727923,0,2.0,8.718546524046717,0.1980259042092562,0.449773749870613,0.1484009920303999,0,0,0,0,1658.0,0.035545023696682464,553.0,0.035545023696682464,2.562906951906566,0.35006707678148097,1.319010827788896,2.8143135790789606,0,0.9656750572082379,1658.0,0.34294702523956744
43.0,5,1,2.0,199.16379854508511,525.9858707942544,0.4004139559517628,0.3474263315652791,4,2.0,6.956161577898839,0.055744047821995,0.2074916772064487,0.19222630016271,2,0,2,3,2566.0,0.023112480739599383,855.6666666666666,0.023112480739599383,6.087676844202322,0.37392014375852095,2.462890385062546,6.0784191540168075,0,0.9774096385542168,2566.0,0.43752062685942755
16.0,6,1,5.0,67.21954826669362,449.88296198245,0.4709170181804331,0.4006357790003175,4,2.0,4.202159602641437,0.143863186214939,0.2503721005219939,0.1085016391814238,2,0,0,0,1414.0,0.10387811634349031,235.83333333333334,0.04155124653739612,11.595680794717126,0.4357763985903753,2.600408538038874,9.346598933153393,0,0.9058971141781681,1414.0,0.5193689957595282
